index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
18,1948,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860,fiction,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133
19,2006,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,fiction,3035.34,0,0.99,19,"Amazon Digital Services,  Inc.",3066
20,2013,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,fiction,11702.67,0,3.99,21,"Amazon Digital Services,  Inc.",2933
21,2000,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,fiction,8569.34,0,2.99,22,"Amazon Digital Services,  Inc.",2866
22,1991,Needful Things,Stephen King,Unknown,Intermediate,3.87,153821,fiction,2772,0,0.99,23,"Amazon Digital Services,  Inc.",2800
23,1993,Voyager,Diana Gabaldon,eng,Intermediate,4.38,157395,fiction,8171.67,0,2.99,24,"Amazon Digital Services,  Inc.",2733
24,1996,"Kenneth Branagh, William Shakespeare","Kenneth Branagh, William Shakespeare",eng,Intermediate,4.12,156869,fiction,2639.34,1583.604,0.99,25,"Amazon Digital Services,  Inc.",2666
25,1981,Cujo,Stephen King,spa,Intermediate,3.65,158215,fiction,7774,0,2.99,26,"Amazon Digital Services,  Inc.",2600
26,1993,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249,fiction,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466
27,2004,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,fiction,2376,0,0.99,29,"Amazon Digital Services,  Inc.",2400
30,1961,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",en-US,Intermediate,4.22,178432,fiction,4509.34,0,1.99,31,"Amazon Digital Services,  Inc.",2266
31,2010,The Way of Kings,Brandon Sanderson,eng,Famous,4.64,144822,fiction,2178,0,0.99,32,"Amazon Digital Services,  Inc.",2200
32,2003,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323,fiction,13178,7906.8,5.99,32,HarperCollins Publishers,2200
33,2006,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001,nonfiction,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066
34,2007,Brandon Sanderson,Brandon Sanderson,eng,Intermediate,4.35,150736,fiction,17980,10788,8.99,35,Random House LLC,2000
35,2015,After You,Jojo Moyes,eng,Intermediate,3.7,99342,fiction,1964.16,0,0.99,36,"Amazon Digital Services,  Inc.",1984
36,2011,The Language of Flowers,Vanessa Diffenbaugh,eng,Intermediate,4.07,140076,fiction,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984
37,1986,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",eng,Intermediate,4.25,135979,fiction,1949.31,0,0.99,37,"Amazon Digital Services,  Inc.",1969
38,2005,The Angel Experiment,James Patterson,eng,Intermediate,4.08,172302,fiction,1949.31,0,0.99,37,"Amazon Digital Services,  Inc.",1969
39,1995,High Fidelity,Nick Hornby,eng,Intermediate,3.94,134849,fiction,20309.55,12185.73,10.65,41,Random House LLC,1907
40,2003,The Guardian,Nicholas Sparks,en-US,Intermediate,4.14,136427,fiction,1873.08,0,0.99,42,"Amazon Digital Services,  Inc.",1892
41,2003,Oryx and Crake,Margaret Atwood,eng,Intermediate,4,151500,fiction,7485.24,0,3.99,43,"Amazon Digital Services,  Inc.",1876
42,1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,en-US,Intermediate,3.52,113915,fiction,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861
43,2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,Intermediate,4,134177,fiction,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846
44,1999,Timeline,Michael Crichton,en-US,Intermediate,3.83,148563,fiction,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830
46,1975,Tuck Everlasting,Natalie Babbitt,eng,Intermediate,3.85,174280,nonfiction,3582,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800
47,1983,Christine,"Stephen King, Marie Milpois",fre,Intermediate,3.72,151160,nonfiction,1766.16,1059.696,0.99,49,"Amazon Digital Services,  Inc.",1784
48,1960,Are You My Mother?,P.D. Eastman,eng,Intermediate,4.16,174204,fiction,10596.31,6357.786,5.99,50,Penguin Group (USA) LLC,1769
49,1950,The Story of Art,E.H. Gombrich,en-US,Intermediate,3.83,164708,fiction,15058.27,9034.962,8.59,51,Hachette Book Group,1753
50,2013,Scarlet,Marissa Meyer,eng,Intermediate,4.3,193766,fiction,1720.62,1032.372,0.99,52,"Amazon Digital Services,  Inc.",1738
51,1997,"Rich Dad , Poor Dad",Robert T. Kiyosaki,eng,Intermediate,3.95,153764,fiction,1705.77,1023.462,0.99,53,Random House LLC,1723
52,2011,Silence ,Becca Fitzpatrick,eng,Intermediate,4.16,190722,fiction,8517.93,0,4.99,54,"Amazon Digital Services,  Inc.",1707
53,2009,The Magicians,Lev Grossman,eng,Novice,3.47,147908,fiction,1675.08,1005.048,0.99,55,Macmillan,1692
55,2003,A Great and Terrible Beauty,Libba Bray,eng,Intermediate,3.79,173613,fiction,4966.39,2979.834,2.99,57,Penguin Group (USA) LLC,1661
56,2002,Everything Is Illuminated,Jonathan Safran Foer,eng,Intermediate,3.9,131492,fiction,1629.54,977.724,0.99,58,"Amazon Digital Services,  Inc.",1646
57,1986,The Bourne Supremacy,Robert Ludlum,en-US,Intermediate,4.09,142168,fiction,17783.3,10669.98,10.91,59,Penguin Group (USA) LLC,1630
58,2012,Easy,Tammara Webber,en-CA,Intermediate,4.11,133937,fiction,1613.7,0,0.99,59,"Amazon Digital Services,  Inc.",1630
60,2007,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",eng,Intermediate,4.11,160607,fiction,10384,6230.4,6.49,61,Random House LLC,1600
62,1968,A Wizard of Earthsea,Ursula K. Le Guin,en-US,Intermediate,3.99,155042,fiction,4707,0,3,63,"Amazon Digital Services,  Inc.",1569
63,2000,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",eng,Intermediate,4,154476,fiction,1522.62,0,0.99,65,"Amazon Digital Services,  Inc.",1538
64,1959,A Separate Peace,John Knowles,en-US,Intermediate,3.56,155901,fiction,5924.47,0,3.89,66,"Amazon Digital Services,  Inc.",1523
65,1995,The Rainmaker,John Grisham,eng,Intermediate,3.91,137412,fiction,12040.93,0,7.99,67,"Amazon Digital Services,  Inc.",1507
67,1995,Assassin's Apprentice,Robin Hobb,eng,Intermediate,4.14,132777,fiction,2907.39,0,1.99,70,"Amazon Digital Services,  Inc.",1461
68,1980,The Restaurant at the End of the Universe,Douglas Adams,eng,Intermediate,4.22,153838,fiction,11553.54,6932.124,7.99,71,Penguin Group (USA) LLC,1446
69,2010,Torment,Lauren Kate,eng,Intermediate,3.89,174393,fiction,5705.7,0,3.99,72,"Amazon Digital Services,  Inc.",1430
70,1901,The Tale of Peter Rabbit,Beatrix Potter,eng,Intermediate,4.17,162373,fiction,9890.85,5934.51,6.99,73,Penguin Group (USA) LLC,1415
71,1953,The Silver Chair,"C.S. Lewis, Pauline Baynes",eng,Intermediate,3.95,170453,fiction,5245.36,3147.216,3.79,75,Hachette Book Group,1384
72,2008,The Hero of Ages,Brandon Sanderson,eng,Famous,4.46,143622,nonfiction,5826.64,3495.984,4.21,75,"Amazon Digital Services,  Inc.",1384
73,1993,"Girl, Interrupted",Susanna Kaysen,eng,Intermediate,3.9,145161,fiction,2724.31,1634.586,1.99,76,Hachette Book Group,1369
74,2007,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,Unknown,Intermediate,3.85,127096,fiction,5462.31,3277.386,3.99,76,Hachette Book Group,1369
75,1970,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",en-US,Intermediate,3.8,133728,fiction,6751.47,0,4.99,77,"Amazon Digital Services,  Inc.",1353
76,2014,City of Heavenly Fire,Cassandra Clare,eng,Famous,4.48,177796,fiction,6676.62,0,4.99,78,"Amazon Digital Services,  Inc.",1338
77,1986,Love You Forever,"Robert Munsch, Sheila McGraw",en-GB,Intermediate,4.34,159703,fiction,1309.77,785.862,0.99,79,"Amazon Digital Services,  Inc.",1323
78,2006,Cell,Stephen King,en-US,Intermediate,3.64,144591,fiction,5933.78,3560.268,4.54,80,HarperCollins Publishers,1307
79,2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,eng,Intermediate,4.32,113565,fiction,8482.43,5089.458,6.49,80,Hachette Book Group,1307
80,1977,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",eng,Intermediate,3.87,134106,fiction,6447.08,3868.248,4.99,81,Random House LLC,1292
81,1987,The Drawing of the Three,Stephen King,eng,Intermediate,4.23,139052,nonfiction,2539.24,1523.544,1.99,82,HarperCollins Publishers,1276
82,2008,The Forgotten Garden,Kate Morton,en-GB,Intermediate,4.12,138377,fiction,4907.7,0,3.99,85,"Amazon Digital Services,  Inc.",1230
84,2002,This Lullaby,Sarah Dessen,eng,Intermediate,4.03,151829,fiction,2417.85,1450.71,1.99,86,HarperCollins Publishers,1215
85,2000,Plain Truth,Jodi Picoult,eng,Intermediate,3.97,128406,fiction,1188,0,0.99,87,"Amazon Digital Services,  Inc.",1200
86,2010,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,eng,Intermediate,3.7,127186,fiction,2388,0,1.99,87,"Amazon Digital Services,  Inc.",1200
87,1902,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",eng,Intermediate,4.09,154517,fiction,2356.16,1413.696,1.99,88,Macmillan,1184
88,2011,"Thinking, Fast and Slow",Daniel Kahneman,eng,Intermediate,4.08,136950,fiction,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
89,1982,The Mists of Avalon,Marion Zimmer Bradley,eng,Intermediate,4.12,157736,fiction,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
90,1970,"Are You There God? It's Me, Margaret",Judy Blume,eng,Intermediate,3.89,151789,fiction,1111.77,0,0.99,92,"Amazon Digital Services,  Inc.",1123
91,2002,Nights in Rodanthe,Nicholas Sparks,eng,Intermediate,3.82,129807,fiction,5603.77,3362.262,4.99,92,"Amazon Digital Services,  Inc.",1123
92,2014,Mr. Mercedes,Stephen King,eng,Intermediate,3.92,125847,fiction,2202.93,1321.758,1.99,93,Macmillan,1107
93,2007,All Together Dead,Charlaine Harris,eng,Intermediate,4.05,162689,fiction,6983.24,4189.944,6.49,95,Random House LLC,1076
94,1997,Midwives,Chris Bohjalian,en-US,Intermediate,3.97,133155,fiction,6885.89,4131.534,6.49,96,Random House LLC,1061
95,1985,The Polar Express,Chris Van Allsburg,en-US,Intermediate,4.29,168001,nonfiction,1035.54,621.324,0.99,97,"Amazon Digital Services,  Inc.",1046
96,1989,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",en-GB,Intermediate,4.29,141945,fiction,1019.7,0,0.99,98,"Amazon Digital Services,  Inc.",1030
97,1987,Patriot Games,Tom Clancy,eng,Intermediate,4.11,141674,fiction,6079.85,0,5.99,99,"Amazon Digital Services,  Inc.",1015
98,1998,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,111856,fiction,6932.45,4159.47,6.83,99,Penguin Group (USA) LLC,1015
99,2013,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",eng,Intermediate,3.94,135635,fiction,985.05,0,0.99,101,"Amazon Digital Services,  Inc.",995
100,2005,Dead as a Doornail ,Charlaine Harris,eng,Intermediate,4.01,169560,fiction,5068.8,3041.28,5.12,102,Penguin Group (USA) LLC,990
101,2011,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,en-US,Intermediate,4.01,176433,fiction,2195.2,1317.12,2.24,104,"Amazon Digital Services,  Inc.",980
102,1959,Starship Troopers,Robert A. Heinlein,en-CA,Intermediate,3.99,136886,fiction,7312.5,4387.5,7.5,105,Hachette Book Group,975
103,2011,I've Got Your Number,Sophie Kinsella,eng,Intermediate,3.93,144533,fiction,960.3,0,0.99,106,"Amazon Digital Services,  Inc.",970
104,1991,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",eng,Intermediate,3.88,109692,fiction,10224,6134.4,10.65,108,Penguin Group (USA) LLC,960
105,2011,Mark Cotta Vaz,Mark Cotta Vaz,eng,Intermediate,4.3,188136,fiction,7670.4,4602.24,7.99,108,Penguin Group (USA) LLC,960
106,1950,The Martian Chronicles,Ray Bradbury,en-US,Intermediate,4.12,143236,fiction,1880.55,0,1.99,111,"Amazon Digital Services,  Inc.",945
107,2010,A Visit From the Goon Squad,Jennifer Egan,eng,Intermediate,3.64,120126,fiction,4690.6,2814.36,4.99,112,Macmillan,940
109,2002,Prey,Michael Crichton,Unknown,Intermediate,3.72,131352,fiction,1850.7,0,1.99,114,"Amazon Digital Services,  Inc.",930
110,1956,The Last Battle,C.S. Lewis,eng,Intermediate,4.02,158701,fiction,5980,3588,6.5,116,"Amazon Digital Services,  Inc.",920
111,2007,World Without End,Ken Follett,eng,Intermediate,4.23,128715,fiction,905.85,543.51,0.99,117,Random House LLC,915
112,2008,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",en-US,Intermediate,3.9,180961,fiction,7759.2,4655.52,8.48,117,"Amazon Digital Services,  Inc.",915
113,2012,Slammed,Colleen Hoover,eng,Intermediate,4.29,153882,fiction,900.9,0,0.99,118,"Amazon Digital Services,  Inc.",910
114,2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,eng,Intermediate,3.84,150003,fiction,895.95,537.57,0.99,119,"Amazon Digital Services,  Inc.",905
116,2006,Baby Proof,Emily Giffin,en-US,Intermediate,3.71,124371,nonfiction,5841,3504.6,6.49,120,Macmillan,900
117,2011,Inheritance,Christopher Paolini,en-US,Intermediate,4.08,146905,nonfiction,10731.05,6438.63,11.99,121,Random House LLC,895
121,2006,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,en-US,Intermediate,4.02,163054,fiction,6525,3915,7.5,126,Simon and Schuster Digital Sales Inc,870
123,2010,Freedom,Jonathan Franzen,en-US,Intermediate,3.73,119213,fiction,6871.4,4122.84,7.99,128,Random House LLC,860
124,2011,Crossed,Ally Condie,eng,Intermediate,3.52,100886,fiction,841.5,504.9,0.99,130,"Amazon Digital Services,  Inc.",850
125,2006,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,en-US,Intermediate,3.82,150222,fiction,10131.55,6078.93,11.99,131,Hachette Book Group,845
126,2008,The White Tiger,Aravind Adiga,eng,Intermediate,3.71,114531,fiction,6711.6,4026.96,7.99,132,Random House LLC,840
127,2001,The Corrections,Jonathan Franzen,eng,Intermediate,3.78,117657,fiction,816.75,0,0.99,135,"Amazon Digital Services,  Inc.",825
128,1995,Dreams from My Father,Barack Obama,eng,Intermediate,3.81,128961,nonfiction,1641.75,985.05,1.99,135,HarperCollins Publishers,825
129,1980,Congo,Michael Crichton,eng,Intermediate,3.55,129811,nonfiction,5696.85,3418.11,6.99,137,Random House LLC,815
130,1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",en-CA,Intermediate,4.22,146073,fiction,2421.9,0,2.99,138,"Amazon Digital Services,  Inc.",810
131,1999,Interpreter of Maladies,Jhumpa Lahiri,eng,Intermediate,4.12,110651,fiction,8573.25,5143.95,10.65,139,Penguin Group (USA) LLC,805
132,1980,A People's History of the United States: 1492 to Present ,Howard Zinn,eng,Intermediate,4.07,137372,fiction,3192,0,3.99,140,"Amazon Digital Services,  Inc.",800
133,1958,Breakfast at Tiffany's,Truman Capote,eng,Intermediate,3.89,129778,fiction,792,475.2,0.99,140,"Amazon Digital Services,  Inc.",800
134,2010,The Passage,Justin Cronin,eng,Intermediate,4.04,126993,fiction,3172.05,0,3.99,141,"Amazon Digital Services,  Inc.",795
135,2005,Anansi Boys,Neil Gaiman,eng,Intermediate,4,137639,nonfiction,1572.1,943.26,1.99,142,"Amazon Digital Services,  Inc.",790
136,2009,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721,fiction,9412.15,5647.29,11.99,143,Penguin Group (USA) LLC,785
137,2014,Everything I Never Told You,Celeste Ng,eng,Intermediate,3.78,108703,fiction,3112.2,0,3.99,144,"Amazon Digital Services,  Inc.",780
138,1982,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",en-US,Intermediate,4.2,119930,fiction,8269.25,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,775
139,1979,The Dead Zone,Stephen King,en-US,Intermediate,3.9,132723,fiction,1512.4,907.44,1.99,148,HarperCollins Publishers,760
140,1920,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",eng,Intermediate,3.98,135514,fiction,3012.45,0,3.99,149,"Amazon Digital Services,  Inc.",755
141,1934,Murder in the Calais Coach,Agatha Christie,eng,Intermediate,4.16,138444,fiction,3742.5,0,4.99,150,"Amazon Digital Services,  Inc.",750
142,2013,Americanah,Chimamanda Ngozi Adichie,eng,Intermediate,4.26,113252,fiction,2992.5,0,3.99,150,"Amazon Digital Services,  Inc.",750
143,2001,Suzanne's Diary for Nicholas,James Patterson,eng,Intermediate,4.16,121398,fiction,3717.55,2230.53,4.99,151,Random House LLC,745
144,1980,Firestarter,Stephen King,eng,Intermediate,3.85,142213,fiction,2952.6,1771.56,3.99,152,Macmillan,740
145,2013,Entwined with You,Sylvia Day,eng,Intermediate,4.19,141641,fiction,727.65,0,0.99,153,"Amazon Digital Services,  Inc.",735
146,2009,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,eng,Intermediate,4.27,109642,fiction,3642.7,0,4.99,154,"Amazon Digital Services,  Inc.",730
147,2014,The Storied Life of A.J. Fikry,Gabrielle Zevin,eng,Intermediate,3.98,115393,fiction,5444.75,3266.85,7.51,155,Random House LLC,725
148,1939,Mad About Madeline,Ludwig Bemelmans,en-GB,Intermediate,4.22,156726,fiction,712.8,0,0.99,156,"Amazon Digital Services,  Inc.",720
149,1937,Think and Grow Rich,Napoleon Hill,eng,Intermediate,4.17,87445,fiction,702.9,0,0.99,158,"Amazon Digital Services,  Inc.",710
150,1932,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.16,165127,fiction,697.95,418.77,0.99,159,"Amazon Digital Services,  Inc.",705
151,2004,Jonathan Strange & Mr Norrell,Susanna Clarke,eng,Intermediate,3.8,133683,fiction,5593,3355.8,7.99,160,Hachette Book Group,700
152,2001,A Bend in the Road,Nicholas Sparks,eng,Intermediate,4.02,116800,fiction,1353.2,811.92,1.99,164,HarperCollins Publishers,680
153,2013,The House of Hades,Rick Riordan,eng,Famous,4.54,159774,nonfiction,668.25,400.95,0.99,165,"Amazon Digital Services,  Inc.",675
154,2008,Gone,Michael  Grant,eng,Intermediate,3.85,144606,fiction,3678.3,2206.98,5.49,166,"Amazon Digital Services,  Inc.",670
155,2003,The Wedding,Nicholas Sparks,en-US,Intermediate,3.98,118045,fiction,658.35,395.01,0.99,167,"Amazon Digital Services,  Inc.",665
156,2005,1776,David McCullough,eng,Intermediate,4.06,130293,fiction,7814.4,4688.64,11.84,168,Random House LLC,660
157,2003,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng,Intermediate,3.98,112167,fiction,648.45,0,0.99,169,"Amazon Digital Services,  Inc.",655
158,2012,Beautiful Ruins,Jess Walter,eng,Intermediate,3.67,116053,fiction,9818.45,5891.07,14.99,169,Random House LLC,655
159,2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,en-US,Intermediate,3.69,110873,fiction,3243.5,0,4.99,170,"Amazon Digital Services,  Inc.",650
160,1999,On Writing: A Memoir of the Craft,Stephen King,eng,Intermediate,4.31,131481,fiction,1943.5,0,2.99,170,"Amazon Digital Services,  Inc.",650
161,2008,Firefly Lane,Kristin Hannah,en-US,Intermediate,4.04,121966,fiction,3218.55,0,4.99,171,"Amazon Digital Services,  Inc.",645
162,1987,Sphere,Michael Crichton,eng,Intermediate,3.77,128244,fiction,4473.6,2684.16,6.99,172,Random House LLC,640
163,2008,Love the One You're With,Emily Giffin,en-US,Intermediate,3.7,124812,fiction,5663.7,3398.22,8.99,174,Simon and Schuster Digital Sales Inc,630
164,2014,The Silkworm,"Robert Galbraith, J.K. Rowling",eng,Intermediate,4.03,120008,fiction,608.85,0,0.99,177,"Amazon Digital Services,  Inc.",615
165,1985,The Vampire Lestat,Anne Rice,eng,Intermediate,4.05,141299,fiction,603.9,362.34,0.99,178,"Amazon Digital Services,  Inc.",610
166,2011,State of Wonder,Ann Patchett,eng,Intermediate,3.85,124837,fiction,1210,0,2,179,"Amazon Digital Services,  Inc.",605
167,2008,The Silver Linings Playbook,Matthew Quick,en-US,Intermediate,4,110939,fiction,594,0,0.99,180,"Amazon Digital Services,  Inc.",600
169,2005,The Constant Princess,Philippa Gregory,en-US,Intermediate,3.88,124786,fiction,3564.05,2138.43,5.99,181,Penguin Group (USA) LLC,595
170,1925,Mrs Dalloway,"Virginia Woolf, Maureen Howard",en-US,Intermediate,3.78,136327,fiction,1174.1,704.46,1.99,182,"Amazon Digital Services,  Inc.",590
172,1998,Bag of Bones,Stephen King,en-US,Intermediate,3.87,131004,fiction,569.25,0,0.99,185,"Amazon Digital Services,  Inc.",575
173,1985,The Cider House Rules,John Irving,eng,Intermediate,4.1,124876,fiction,1134.3,0,1.99,186,"Amazon Digital Services,  Inc.",570
174,1984,Thinner,"Richard Bachman, Stephen King",en-GB,Intermediate,3.66,130219,fiction,1659.45,0,2.99,189,"Amazon Digital Services,  Inc.",555
176,1994,Walk Two Moons,Sharon Creech,eng,Intermediate,3.95,129350,nonfiction,544.5,326.7,0.99,190,"Amazon Digital Services,  Inc.",550
177,2003,Onze minutos,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,102206,fiction,534.6,0,0.99,192,"Amazon Digital Services,  Inc.",540
178,1953,Nine Stories,J.D. Salinger,eng,Intermediate,4.19,105138,fiction,2154.6,0,3.99,192,"Amazon Digital Services,  Inc.",540
179,2005,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,eng,Intermediate,3.67,121373,nonfiction,1599.65,959.79,2.99,193,Random House LLC,535
180,2007,Unwind,Neal Shusterman,eng,Intermediate,4.18,143892,fiction,524.7,314.82,0.99,194,Macmillan,530
181,1996,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,eng,Intermediate,4.34,123736,nonfiction,1024.85,614.91,1.99,197,"Amazon Digital Services,  Inc.",515
182,2013,Prodigy,Marie Lu,eng,Intermediate,4.29,149702,fiction,1524.9,0,2.99,198,"Amazon Digital Services,  Inc.",510
184,1949,Death of a Salesman,Arthur Miller,eng,Novice,3.49,132061,fiction,5433.18,3259.908,10.91,201,Penguin Group (USA) LLC,498
185,2007,The Choice,Nicholas Sparks,en-US,Intermediate,3.99,93479,fiction,1483.04,0,2.99,202,"Amazon Digital Services,  Inc.",496
186,2012,Kate Egan,Kate Egan,en-US,Famous,4.51,119915,fiction,2950.91,1770.546,6.01,205,HarperCollins Publishers,491
187,1929,The Sound and the Fury,William Faulkner,eng,Intermediate,3.86,124665,fiction,2445.1,1467.06,4.99,206,Hachette Book Group,490
188,2005,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,eng,Intermediate,4.02,106211,fiction,483.12,289.872,0.99,207,"Amazon Digital Services,  Inc.",488
190,2013,Allie Brosh,Allie Brosh,eng,Intermediate,4.17,118910,fiction,5269.53,3161.718,10.91,210,Penguin Group (USA) LLC,483
191,1992,The Shadow Rising ,Robert Jordan,en-US,Intermediate,4.21,122524,nonfiction,2057.58,1234.548,4.26,210,HarperCollins Publishing,483
192,2003,Shantaram,Gregory David Roberts,eng,Intermediate,4.26,95213,fiction,476.19,0,0.99,211,"Amazon Digital Services,  Inc.",481
193,2008,From Dead to Worse,Charlaine Harris,eng,Intermediate,4.01,151095,fiction,475.2,285.12,0.99,212,"Amazon Digital Services,  Inc.",480
194,1991,The Waste Lands,"Stephen King, Ned Dameron",eng,Intermediate,4.24,117483,fiction,1429.22,0,2.99,213,"Amazon Digital Services,  Inc.",478
195,1997,The Bone Collector,Jeffery Deaver,en-US,Intermediate,4.18,120541,fiction,5253.22,3151.932,10.99,213,Random House LLC,478
196,1995,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",eng,Intermediate,3.73,119911,fiction,1423.24,0,2.99,214,"Amazon Digital Services,  Inc.",476
